old_name,new_name
fettuccine alfredo,alfredo
chicken alfredo primavera,alfredo 
margherita pizza,pizza
spaghetti bolognese,bolognese
salmon prawn risotto,risotto
carbonara,carbonara
spicy arrabiata penne,arrabiata 
honey teriyaki salmon,teriyaki 
tonkatsu,tonkatsu
katsu chicken curry,curry
dal,dal
dhal,dal
tandoori chicken,tandoori 
dumplings,dumplings
wonton,wontons
egg drop soup, soup
chicken congee,congee
taco,tacos
chicken baked tacos,tacos
chickpea fajitas,fajitas
chicken enchilada casserole,casserole
tacos,tacos
fish taco,tacos
macaroni,macaroni
sandwich,sandwich
burgers,burgers
big mac,big mac
pancakes,pancakes
ratatouille,ratatouille
omelette,omelette
,seafood 
